"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
A.D.A.U.A. (GROUPE),a.d.a.u.a. (groupe),,a.d.a.u.a. (groupe),a.d.a.u.a.,1980,SUISSE,ARCHI/TE,,,Oui,Non,Oui,Oui,Non,ACA
A.R.A.U. (GROUPE),a.r.a.u. (groupe),,a.r.a.u. (groupe),a.r.a.u.,1980,BELGIQUE,ARCHI/TE,,,Oui,Non,Non,Oui,Non,ACA
"AAMODT, ROLF","aamodt, rolf",,aamodt,aamodt,1969,NORVEGE,TE,,,Oui,Non,Non,Non,Non,ACA
"AANESEN, ELLEN","aanesen, ellen",1973,aanesen,aanesen,1973,NORVEGE,FILM,,,Oui,Non,Non,Oui,Non,ACA
"AAS, NILS","aas, nils",1965,aas,aas,1965,NORVEGE,SC,,,Oui,Non,Non,Non,Non,ACA
"AASEN, KNUT","aasen, knut",1969,aasen,aasen,1969,NORVEGE,ARCHI/URB,,,Oui,Oui,Non,Non,Non,ACA
"ABAD, JORGE","abad, jorge",1967,abad,abad,1967,ARGENTINE,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"ABALLEA, MARTINE","aballea, martine","1980, 1982",aballea,aballea,1980,France,PERF,,,Oui,Non,Non,Non,Non,ACA
"ABALLEA, MARTINE","aballea, martine","1980, 1982",aballea,aballea,1982,France,LIVRE/ART,,,Oui,Non,Non,Oui,Non,ACA
"ABATE, CLAUDIO","abate, claudio",1969,abate,abate,1969,ITALIE,PHOTO,,,Oui,Non,Non,Non,Non,ACA
"ABBOUD, SHAFIC","abboud, shafic",,abboud,abboud,1959,France,PEINT,,JC,Oui,Non,Oui,Non,Non,ACA
"ABD EL KADER, KAREN","abd el kader, karen",,abd el kader,abd el kader,1969,France,SPECTACLE,,,Oui,Non,Non,Oui,Non,ACA
"ABDOUSALAMOV, CHAVKAT","abdousalamov, chavkat",,abdousalamov,abdousalamov,1971,URSS,SCENO,,,Oui,Non,Non,Oui,Non,ACA
"ABEYSINGHE, NOEL","abeysinghe, noel",1963,abeysinghe,abeysinghe,1963,CEYLAN,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ABMA, HARMEN","abma, harmen",1971,abma,abma,1971,PAYS-BAS,TE,,,Oui,Non,Non,Non,Non,ACA
"ABOU RIZK, ELIAS","abou rizk, elias",,abou rizk,abou rizk,1963,LIBAN,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ABRAHAMSEN, HANS","abrahamsen, hans",1973,abrahamsen,abrahamsen,1973,DANEMARK,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
"ABRAM, FRANCOISE","abram, francoise",1963,abram,abram,1963,France,GV,,JA,Oui,Non,Non,Non,Non,ACA
"ABRAM, RONALD","abram, ronald","1965, 1967",abram,abram,1965,France,GV,,CA,Oui,Non,Non,Non,Non,ACA
"ABRAM, RONALD","abram, ronald","1965, 1967",abram,abram,1967,France,DES,,,Oui,Non,Non,Non,Non,ACA
"ABRAMOVIC, MARINA","abramovic, marina","1975, 1975",abramovic,abramovic,1975,YOUGOSLAVIE,VIDEO,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ABRAMOVIC, MARINA","abramovic, marina","1975, 1975",abramovic,abramovic,1975,YOUGOSLAVIE,FILM,,,Oui,Non,Non,Non,Non,ACA
"ABRAMS, LIONEL","abrams, lionel",1961,abrams,abrams,1961,AFRIQUE DU SUD,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"ABSIL, GILBERT","absil, gilbert",1971,absil,absil,1971,France,INTER/TE,GESTE,CG,Oui,Oui,Non,Oui,Non,ACA
"ABULARACH, RODOLFO","abularach, rodolfo",1959,abularach,abularach,1959,GUATEMALA,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ACAR, KUZGUN","acar, kuzgun",1961,acar,acar,1961,TURQUIE,SC,,,Oui,Oui,Oui,Oui,Oui,ACA
"ACCONCI, VITO","acconci, vito",1971,acconci,acconci,1971,France,FILM,,CG,Oui,Non,Non,Oui,Non,ACA
"ACEVEDO, LUIS","acevedo, luis",,acevedo,acevedo,1977,AMERIQUE LATINE,PEINT,ARTE/IDEOLOGIA,,Non,Oui,Oui,Oui,Non,BK
"ACEVES NAVARRO, GILBERTO","aceves navarro, gilberto","1965, 1959, 1961, 1963",aceves navarro,aceves navarro,1965,MEXIQUE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ACEVES NAVARRO, GILBERTO","aceves navarro, gilberto","1965, 1959, 1961, 1963",aceves navarro,aceves navarro,1959,MEXIQUE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"ACEVES NAVARRO, GILBERTO","aceves navarro, gilberto","1965, 1959, 1961, 1963",aceves navarro,aceves navarro,1961,MEXIQUE,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"ACEVES NAVARRO, GILBERTO","aceves navarro, gilberto","1965, 1959, 1961, 1963",aceves navarro,aceves navarro,1963,MEXIQUE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ACHER, DOMINIQUE D'","acher, dominique d'",1965,acher,acher,1965,France,PEINT,,JA,Oui,Oui,Non,Non,Non,ACA
"ACHILLI, MICHELE","achilli, michele",1985,achilli,achilli,1985,ITALIE,ARCHI/TE,,,Oui,Oui,Non,Oui,Non,ACA
"ACHKAR SARGOLOGO, YVETTE","achkar sargologo, yvette",,achkar sargologo,achkar sargologo,1961,LIBAN,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ACIMOVIC-GODINA, KARPO","acimovic-godina, karpo",,acimovic-godina,acimovic-godina,1971,YOUGOSLAVIE,FILM,,,Oui,Non,Non,Non,Non,ACA
"ACOSTA GARCIA, PEDRO","acosta garcia, pedro",1961,acosta garcia,acosta garcia,1961,SAN SALVADOR,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ACQUART, FANNY","acquart, fanny",1959,acquart,acquart,1959,France,SC,,CA,Oui,Oui,Non,Non,Non,ACA
"ACREMANT, JANINE","acremant, janine","1961, 1963",acremant,acremant,1961,France,GV,,CA,Oui,Non,Non,Non,Non,ACA
"ACREMANT, JANINE","acremant, janine","1961, 1963",acremant,acremant,1963,France,GV,,CA,Oui,Non,Non,Non,Non,ACA
"ACS, CLAUDINE","acs, claudine",1967,acs,acs,1967,France,TE,,,Oui,Oui,Non,Non,Oui,ACA
"ACS, VILMOS","acs, vilmos","1967, 1965",acs,acs,1967,France,TE,,,Oui,Oui,Non,Non,Oui,ACA
"ACS, VILMOS","acs, vilmos","1967, 1965",acs,acs,1965,France,TE,,,Oui,Oui,Oui,Non,Non,ACA
"ACTON, ARLO","acton, arlo",1963,acton,acton,1963,ETATS-UNIS,SC,,,Oui,Non,Non,Non,Non,ACA
"ADAMI, VALERIO","adami, valerio",1985,adami,adami,1985,France,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ADAN VASQUEZ, MANUEL","adan vasquez, manuel",,adan vasquez,adan vasquez,1969,PANAMA,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"ADASME, ELIAS","adasme, elias",,adasme,adasme,1982,CHILI,PHOTO,CHILI,,Non,Non,Non,Non,Non,Non identifié
"ADENIS, YVES","adenis, yves",1969,adenis,adenis,1969,France,TE,,,Oui,Non,Non,Non,Non,ACA
"ADILON, GEORGES","adilon, georges",1961,adilon,adilon,1961,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1969,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1971,JAPON,OPTION 4,,,Oui,Non,Non,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1965,France,PEINT,,CA,Oui,Oui,Non,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1967,France,PEINT,,,Oui,Oui,Non,Non,Oui,ACA
"ADOLGISO, ARMANDO","adolgiso, armando",,adolgiso,adolgiso,1982,ITALIE,INFO/SON,FONOSTERA,,Non,Non,Non,Non,Non,Non identifié
"ADRIEN, PHILIPPE","adrien, philippe",1969,adrien,adrien,1969,France,SPECTACLE,,,Non,Non,Oui,Non,Non,ACA
"ADRON, RALF","adron, ralf",,adron,adron,1961,GRANDE-BRETAGNE,DECO/THEA,,,Oui,Non,Non,Non,Non,ACA
"AFCHAR, VICTORIA","afchar, victoria",1963,afchar,afchar,1963,IRAN,PEINT,,,Oui,Non,Non,Non,Non,ACA
"AGAM, YAACOV","agam, yaacov",1959,agam,agam,1959,ISRAEL,PEINT,,,Oui,Oui,Oui,Non,Non,ACA
"AGAOGLU, TEKTAS","agaoglu, tektas",,agaoglu,agaoglu,1959,TURQUIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
