Column 1,Column 2
110345,vendeur
110644,vendeur
111153,vendeur
120437,acheteur
120746,acheteur
158252,acheteur
159701,vendeur
159705,vendeur
159791,vendeur et acheteur
159794,acheteur
159866,vendeur
159869,acheteur
159873,vendeur et acheteur
159886,vendeur
159890,acheteur
159924,acheteur
160218,acheteur
160219,acheteur
160244,vendeur
160317,vendeur
161923,vendeur
162815,acheteur
162819,vendeur et acheteur
162821,acheteur
162825,acheteur
162828,acheteur
162829,acheteur
162833,vendeur
162834,vendeur
162838,acheteur
162857,acheteur
163117,acheteur
163121,acheteur
163176,acheteur
163195,acheteur
163285,acheteur
163396,acheteur
164044,vendeur
164047,vendeur
164048,vendeur
164051,vendeur
164073,vendeur
164076,vendeur
164077,vendeur
164079,vendeur
164080,vendeur
164082,vendeur
164087,vendeur
164093,vendeur
164094,vendeur
164329,vendeur
164414,vendeur
164415,acheteur
164416,acheteur
164417,vendeur
164419,acheteur
164420,acheteur
164421,acheteur
164422,vendeur
164423,acheteur
164424,vendeur
164425,acheteur
164426,vendeur
164427,vendeur
164428,acheteur
164429,vendeur
164430,acheteur
164431,acheteur
164432,vendeur
164433,vendeur
164434,vendeur
164436,vendeur
164437,vendeur
164493,vendeur
164494,vendeur
164495,vendeur
164496,vendeur
164497,vendeur
164499,vendeur
164500,vendeur
164501,vendeur
164502,vendeur
164503,vendeur
164504,vendeur
164505,vendeur
164506,vendeur
164507,vendeur
164508,vendeur
164509,vendeur
164510,vendeur
164511,vendeur
164512,vendeur
164513,vendeur
164514,vendeur
164515,vendeur
164516,vendeur
164517,vendeur
164518,vendeur
164519,vendeur et acheteur
164520,vendeur
164521,vendeur
164522,vendeur
164523,vendeur
164524,vendeur
164525,vendeur
164526,vendeur
164527,vendeur
164528,vendeur
164530,acheteur
164531,acheteur
164550,vendeur
164551,vendeur
164552,vendeur
164553,vendeur
164554,vendeur
164555,vendeur
164556,vendeur
164557,vendeur
164558,vendeur
164559,vendeur
164560,vendeur
164561,vendeur et acheteur
164562,vendeur
164563,vendeur
164564,vendeur
164565,acheteur
164566,vendeur
164567,vendeur
164568,vendeur et acheteur
164569,vendeur
164570,vendeur
164571,vendeur
164572,vendeur et acheteur
164573,vendeur
164574,vendeur
164578,acheteur
164579,acheteur
164581,acheteur
164582,acheteur
164583,acheteur
164584,acheteur
164585,acheteur
164586,acheteur
164592,vendeur
164593,vendeur
164594,vendeur
164595,vendeur
164596,vendeur
164599,acheteur
164600,acheteur
164602,acheteur
164613,acheteur
164615,vendeur
164617,vendeur
164620,vendeur
164621,vendeur
164622,vendeur
164623,vendeur
164624,vendeur
164625,vendeur
164626,vendeur
164627,acheteur
164629,acheteur
164632,acheteur
164633,acheteur
164637,acheteur
164658,acheteur
164659,acheteur
164660,vendeur
164661,vendeur
164663,acheteur
164664,acheteur
164665,acheteur
164666,vendeur
164667,vendeur
164668,acheteur
164669,acheteur
164671,vendeur
164672,vendeur
164673,vendeur
164674,vendeur
164675,vendeur
164676,vendeur
164677,vendeur
164678,vendeur
164679,vendeur
164680,vendeur
164681,acheteur
164682,acheteur
164683,vendeur et acheteur
164684,vendeur
164685,vendeur
164686,acheteur
164687,acheteur
164688,acheteur
164689,acheteur
164690,acheteur
164691,vendeur
164692,vendeur
164693,vendeur
164694,vendeur et acheteur
164695,vendeur
164696,vendeur
164697,vendeur
164698,vendeur
164699,acheteur
164700,acheteur
164701,acheteur
164702,acheteur
164703,acheteur
164704,acheteur
164705,acheteur
164706,vendeur et acheteur
164707,vendeur et acheteur
164708,vendeur et acheteur
164709,vendeur et acheteur
164712,acheteur
164713,acheteur
164714,acheteur
164741,vendeur
164742,vendeur
164743,vendeur
164744,vendeur et acheteur
164745,vendeur
164746,vendeur
164747,vendeur
164748,vendeur
164749,vendeur
164754,acheteur
164755,acheteur
164757,acheteur
164758,acheteur
164760,acheteur
164761,acheteur
164762,acheteur
164766,vendeur
164767,vendeur
164768,vendeur
164769,vendeur
164770,vendeur
164773,vendeur
164774,vendeur
164776,vendeur
164777,acheteur
164778,vendeur
164779,vendeur
164780,vendeur
164781,vendeur
164782,vendeur
164783,vendeur
164784,vendeur
164785,vendeur
164786,vendeur
164787,vendeur
164788,vendeur
164790,vendeur
164791,vendeur
164793,vendeur
164794,vendeur
164795,vendeur
164803,vendeur
164804,vendeur
164806,vendeur
164807,vendeur
164808,vendeur
164809,vendeur
164811,vendeur
164812,vendeur
164814,vendeur
164815,vendeur
164816,vendeur
164817,vendeur
164818,vendeur
164819,vendeur
164820,vendeur
164821,vendeur
164822,vendeur
164823,vendeur
164824,vendeur et acheteur
164825,vendeur
164826,vendeur
164827,acheteur
164828,acheteur
164829,acheteur
164830,acheteur
164834,vendeur
164835,acheteur
164836,acheteur
164837,vendeur
164838,vendeur
164839,vendeur
164840,acheteur
164841,acheteur
164842,acheteur
164843,acheteur
164844,acheteur
164845,acheteur
164846,vendeur
164847,vendeur
164848,vendeur
164849,vendeur
164850,vendeur
164851,vendeur
164858,vendeur
164859,vendeur
164860,vendeur
164861,vendeur
164866,acheteur
164867,acheteur
164868,acheteur
164869,acheteur
164870,acheteur
164871,acheteur
164875,vendeur
164876,acheteur
164877,acheteur
164878,vendeur
164879,vendeur
164880,vendeur
164881,vendeur
164882,vendeur
164883,vendeur
164884,vendeur
164885,acheteur
164886,acheteur
164887,acheteur
164888,acheteur
164889,acheteur
164890,acheteur
164891,acheteur
164892,acheteur
164893,vendeur
164894,vendeur
164895,vendeur
