artwork - HAUTEUR,artwork - TITRE,artwork - UNIQUE_KEY,artwork - URL,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - DISPLAY_MATIERE,artwork - DISPLAY_DATE_EXE_TXT,artwork - LARGEUR,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_TECHNIQUE,artwork - DISPLAY_ROLE_AUTEUR
"0,8","Soubassement de la dalle funéraire d'Adam d'Auteuil, abbé de Saint-Denis (+ le 19 février 1122)",135033,https://agorha.inha.fr/inhaprod/ark:/54721/003135033,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0110/FR75_0007_MUS_135033_0003_low.jpg,tombeau/fragment,"Musée de Cluny, Musée national du Moyen Âge (Paris)",pierre,1270 - 1280,"1,65","Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
"1,15",Saint Jean l'Evangéliste,135048,https://agorha.inha.fr/inhaprod/ark:/54721/003135048,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0116/FR00_0001_136060_0044_low.jpg,statue,"Musée de Cluny, Musée national du Moyen Âge (Paris)",marbre/albâtre,2e moitié du 14e siècle,,"Anonyme, Ile-de-France - sculpteur - 14e siècle",,
"0,76","Charles IX (Saint-Germain-en-Laye, 1550-Vincennes, 1574), roi de France",135346,https://agorha.inha.fr/inhaprod/ark:/54721/003135346,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0064/FR75_0002_MUS_135346_0984_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre/albâtre/marbre noir,1568,"0,595",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,atelier de
"1,29",Le fleuve Rhin,135156,https://agorha.inha.fr/inhaprod/ark:/54721/003135156,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0160/FR78_0001_MUS_135156_0171_low.jpg,bas-relief,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,1803,"0,37",Moitte - Jean-Guillaume - sculpteur - 1746 - 1810 - 1746 - 1810,,
1,Ecu aux armes de Philippe de Commynes encadré de trois têtes d'angelots et de six médaillons entourés de guirlandes,135480,https://agorha.inha.fr/inhaprod/ark:/54721/003135480,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0044/FR75_0002_MUS_135480_1136_low.jpg,fronton/bas-relief,Département des sculptures du musée du Louvre (Paris),pierre,1er quart du 16e siècle,"1,8","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
97,La Crucifixion,137488,https://agorha.inha.fr/inhaprod/ark:/54721/003137488,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0247/FR75_0043_ADM_137488_0071_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),marbre,,79,Marchand - François - sculpteur - 1551 - 1551 - Actif au XVIe siècle,taillé,sculpteur
"0,28",Philippe IV le Bel (+ en 1314),135729,https://agorha.inha.fr/inhaprod/ark:/54721/003135729,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0119/FR93_0001_REL_136045_0182_low.jpg,gisant,"Basilique cathédrale Saint-Denis, ancienne abbaye (Saint-Denis)",marbre blanc,Vers 1327,"0,53","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
101,"Histoire de Psyché, épisode 04 : Croyant avoir offensé les dieux, le roi s'en va consulter l'oracle d'Apollon à Millet",137334,https://agorha.inha.fr/inhaprod/ark:/54721/003137334,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0191/FR60_0002_MUS_137334_0118_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"0,4",Réseau de losanges à motifs décoratifs ou héraldiques,135607,https://agorha.inha.fr/inhaprod/ark:/54721/003135607,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0102/FR75_0002_MUS_135607_1016_low.jpg,plaque décorative,Département des sculptures du musée du Louvre (Paris),calcaire,2e moitié du 13e siècle,"1,64",Anonyme,taillé,
"0,425","Chapiteau décoré de feuillages, d'animaux fantastiques et d'une sirène tenant un miroir",135612,https://agorha.inha.fr/inhaprod/ark:/54721/003135612,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0057/FR75_0016_MUS_135612_0146_low.jpg,chapiteau,Département des sculptures du musée du Louvre (Paris),calcaire,Vers 1240,"0,45","Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
