artwork - UNIQUE_KEY,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - URL,artwork - DISPLAY_LIEU_CONSERV,artwork - TITRE,artwork - DISPLAY_DATE_EXE_TXT,artwork - HAUTEUR,artwork - DISPLAY_MATIERE,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_ROLE_AUTEUR,artwork - LARGEUR,artwork - DISPLAY_TECHNIQUE
22904,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0119/elem_0135/FR75_0002_MUS_22904_0705_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00322904,Musée du Louvre (Paris),Sainte Apolline ; saint Michel,Vers 1473,"0,23",bois,Ercole de' Roberti - peintre - Vers 1450 - 1496 - Vers 1450 - 1496 - Roberti - Ercole,de,"0,09",peinture à l'huile
23160,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0119/elem_0222/FR75_0002_MUS_23160_0792_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00323160,Musée du Louvre (Paris),La Vierge et l'Enfant avec deux anges,1472 - 1475,"0,798",bois,Lippi - Filippino - peintre - Vers 1457 - 1504 - Vers 1457 - 1504,de,"0,550",peinture à l'huile
,,,,,La Vierge à la grenade,,,,,,,
22861,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0119/elem_0128/FR75_0002_MUS_22861_0698_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00322861,Musée du Louvre (Paris),Le Couronnement d'Esther par Assuérus,4e quart du 15e siècle,"0,455",bois,Jacopo del Sellaio - peintre - 1441 - 1493 - 1441 - 1493 - Sellajo - Jacopo del,de,"0,436",peinture à tempera
134462,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0232/FR06_0011_DOM_134461_0008_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134462,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Ange au luth,4e quart du 15e siècle,"0,58",toile,Jacopino de'Scipioni - peintre - 1470 - 1532 - 1470 - 1532,attribué à,"0,43",peinture à fresque
134464,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0120/elem_0195/FR06_0011_DOM_134464_0030_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134464,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Neuf fragments de plafond peint figurant des portraits d'hommes et de femmes de profil,15e siècle,"0,313",bois,Anonyme italien - peintre - 15e siècle,attribué à,"0,405",peinture à tempera
134451,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0206/FR06_0011_DOM_134451_0002_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134451,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux anges musiciens jouant de la trompette,4e quart du 15e siècle,"0,702",toile,Jacopino de'Scipioni - peintre - 1470 - 1532 - 1470 - 1532,attribué à,"1,08",peinture à fresque
134450,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0205/FR06_0011_DOM_134450_0001_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134450,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Vierge à l'enfant en trône,15e siècle,"1,27",bois,Lippo d'Andrea - peintre - 1377 - Après 1427 - 1377 - Après 1427,attribué à,"0,80",peinture à tempera
134461,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0233/FR06_0011_DOM_134462_0009_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134461,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Ange jouant du tambourin,4e quart du 15e siècle,"0,60",toile,Jacopino de'Scipioni - peintre - 1470 - 1532 - 1470 - 1532,attribué à,"0,47",peinture à fresque
134468,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0214/FR06_0011_DOM_134468_1_0010_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134468,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Quarante personnages vu de face ou de profil,15e siècle,"0,55",bois,Anonyme italien - peintre - 15e siècle,attribué à,"0,50",peinture à tempera
