artwork,artwork - UNIT,artwork - UNIQUE_KEY,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - TITRE,artwork - HAUTEUR,artwork - DISPLAY_MATIERE,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_ROLE_AUTEUR,artwork - LARGEUR,artwork - DISPLAY_TECHNIQUE
"
  ",mètre,22904,folder_0001/folder_0001/folder_0003/folder_0119/elem_0135/FR75_0002_MUS_22904_0705_low.jpg,peinture,Musée du Louvre (Paris),Sainte Apolline ; saint Michel,"0,23",bois,Ercole de' Roberti - peintre - Vers 1450 - 1496 - Vers 1450 - 1496 - Roberti - Ercole,de,"0,09",peinture à l'huile
"
  ",mètre,23160,folder_0001/folder_0001/folder_0003/folder_0119/elem_0222/FR75_0002_MUS_23160_0792_low.jpg,peinture,Musée du Louvre (Paris),La Vierge et l'Enfant avec deux anges,"0,798",bois,Lippi - Filippino - peintre - Vers 1457 - 1504 - Vers 1457 - 1504,de,"0,550",peinture à l'huile
"
  ",mètre,22861,folder_0001/folder_0001/folder_0003/folder_0119/elem_0128/FR75_0002_MUS_22861_0698_low.jpg,peinture,Musée du Louvre (Paris),Le Couronnement d'Esther par Assuérus,"0,455",bois,Jacopo del Sellaio - peintre - 1441 - 1493 - 1441 - 1493 - Sellajo - Jacopo del,de,"0,436",peinture à tempera
"
  ",mètre,229165,folder_0001/folder_0001/folder_0004/folder_0137/elem_0155/FR75_0060_MUS_229165_0041_low.jpg,arme orientale,Fondation des artistes,,,,,,,
"
  ",mètre,134462,folder_0001/folder_0001/folder_0003/folder_0245/elem_0232/FR06_0011_DOM_134461_0008_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Ange au luth,"0,58",toile,Jacopino de'Scipioni - peintre - 1470 - 1532 - 1470 - 1532,attribué à,"0,43",peinture à fresque
"
  ",mètre,134464,folder_0001/folder_0001/folder_0004/folder_0120/elem_0195/FR06_0011_DOM_134464_0030_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Neuf fragments de plafond peint figurant des portraits d'hommes et de femmes de profil,"0,313",bois,Anonyme italien - peintre - 15e siècle,attribué à,"0,405",peinture à tempera
"
  ",mètre,134451,folder_0001/folder_0001/folder_0003/folder_0245/elem_0206/FR06_0011_DOM_134451_0002_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux anges musiciens jouant de la trompette,"0,702",toile,Jacopino de'Scipioni - peintre - 1470 - 1532 - 1470 - 1532,attribué à,"1,08",peinture à fresque
"
  ",mètre,134450,folder_0001/folder_0001/folder_0003/folder_0245/elem_0205/FR06_0011_DOM_134450_0001_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Vierge à l'enfant en trône,"1,27",bois,Lippo d'Andrea - peintre - 1377 - Après 1427 - 1377 - Après 1427,attribué à,"0,80",peinture à tempera
"
  ",mètre,134461,folder_0001/folder_0001/folder_0003/folder_0245/elem_0233/FR06_0011_DOM_134462_0009_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Ange jouant du tambourin,"0,60",toile,Jacopino de'Scipioni - peintre - 1470 - 1532 - 1470 - 1532,attribué à,"0,47",peinture à fresque
"
  ",mètre,134468,folder_0001/folder_0001/folder_0003/folder_0245/elem_0214/FR06_0011_DOM_134468_1_0010_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Quarante personnages vu de face ou de profil,"0,55",bois,Anonyme italien - peintre - 15e siècle,attribué à,"0,50",peinture à tempera
