artwork - UNIQUE_KEY,artwork - DATE_EXECUTION_DATATION_TXT
22904,Vers 1473
23160,1472 - 1475
22861,4e quart du 15e siècle
229165,
134462,4e quart du 15e siècle
134464,15e siècle
134451,4e quart du 15e siècle
134450,15e siècle
134461,4e quart du 15e siècle
134468,15e siècle
134465,
134467,2e moitié du 18e siècle
134469,16e siècle
134470,15e siècle
22719,1er quart du 16e siècle
134471,16e siècle
134453,2e quart du 15e siècle - 3e quart du 15e siècle
134457,1760 - 1770
29089,1ère moitié du 17e siècle
23535,2e quart du 15e siècle
22752,2e moitié du 15e siècle
23252,Vers 1475 - 1480
12280,2e quart du 16e siècle - 3e quart du 16e siècle
14777,4e quart du 15e siècle
30517,4e quart du 13e siècle - 1er quart du 14e siècle
22708,2e quart du 16e siècle - 3e quart du 16e siècle
228513,1ère moitié du 15e siècle - 2e moitié du 15e siècle
228514,4e quart du 15e siècle
23328,2e moitié du 16e siècle
232170,
232172,
251569,1765
251581,1765 - 1770
251018,1767
251002,1772
229786,17e siècle
251832,18e siècle
251767,18e siècle
251561,1766
251016,1767
251004,1767 - 1773
251006,1768
251724,1795 - 1799
251769,18e siècle
251840,4e quart du 18e siècle - 1er quart du 19e siècle
251557,1766
251558,1766
250814,1756 - 1757
251179,1782
251185,1782
250900,1760
229754,18e siècle
250819,1756 - 1757
251228,1787
251559,1766
251860,18e siècle
251861,18e siècle
251863,19e siècle
251586,1749
251588,1753 - 1754
250821,1756 - 1757
250826,1756 - 1757
232206,1519
250946,1763
251872,
251916,18e siècle
251867,
251513,1766
251555,1766
229390,1ère moitié du 18e siècle
250869,1758 - 1759
251476,1765
251481,1765
232174,1536
251132,1773
251134,1774
251143,1775
250776,1752
251285,1752 - 1754
251484,1765
251490,1765
251770,19e siècle
251774,18e siècle
254651,15e siècle
254652,15e siècle
254655,15e siècle
254656,15e siècle
250777,1752
250744,1755 - 1756
251137,1774
229354,1ère moitié du 18e siècle
251325,Vers 1753
250752,1757
251847,18e siècle
251777,4e quart du 18e siècle
251829,18e siècle
251562,1766
251570,1765
251571,1766
229359,1ère moitié du 18e siècle
229184,
229175,16e siècle
254548,1752 - 1754
254549,1752 - 1754
254670,15e siècle
254575,1766
251850,18e siècle
251191,1784
250828,1753 - 1754
254551,1783
250758,1766 - 1770
250760,1770
251192,1784
251771,1785
254558,1771
251560,1766
250825,1756 - 1757
250856,1758
254280,1760
251597,1756 - 1757
251599,1756 - 1757
251601,1756 - 1757
250916,1760
250895,1760
250896,1760
251017,1767
251219,1786
250932,1761
250933,1761
251168,1780
251387,1787
251824,1er quart du 18e siècle
251825,4e quart du 18e siècle
250757,1766 - 1770
251541,1765
251564,1766
251565,1766
251566,1766
251869,
250996,1772
232200,19e siècle
232205,Vers 1510
251871,18e siècle
251271,1752 - 1754
251281,1752 - 1754
229776,17e siècle
229775,1625
251857,4e quart du 18e siècle
251542,1765
251549,1765
250808,1753 - 1754
251172,1781
232201,19e siècle
229412,19e siècle
229758,18e siècle
251841,18e siècle
251845,18e siècle
251854,18e siècle
251572,1767
251575,1767
232169,
250877,1757 - 1761
250880,1761
251196,1785
251050,1769
251167,1780
251178,1782
228767,18e siècle
250750,1756 - 1757
250889,1759 - 1760
250947,1763
250782,1753 - 1754
229387,1ère moitié du 18e siècle
254646,15e siècle
254647,15e siècle
229410,19e siècle
254602,2e quart du 14e siècle
251326,Vers 1753
251726,
251728,
254601,14e siècle
254603,14e siècle
229471,18e siècle - 19e siècle
22729,1ère moitié du 16e siècle
229369,2e quart du 18e siècle - 4e quart du 18e siècle
229756,18e siècle
229109,4e quart du 16e siècle
229286,2e moitié du 17e siècle - 1ère moitié du 18e siècle
229767,
229141,2e moitié du 16e siècle
229142,18e siècle
229188,
229818,1905 - 1907
229821,1884
229484,19e siècle
229253,16e siècle
229191,
229252,1525 - 1530
229468,19e siècle
229255,17e siècle
229295,2e moitié du 17e siècle - 1ère moitié du 18e siècle
229408,19e siècle
229385,1ère moitié du 18e siècle
229240,
228769,4e quart du 17e siècle - 1ère moitié du 18e siècle
229352,1ère moitié du 18e siècle
229487,
229745,18e siècle
229493,16e siècle - 17e siècle
229341,1ère moitié du 18e siècle
250863,1758 - 1759
229364,
229334,1ère moitié du 18e siècle
229784,16e siècle
229763,16e siècle
229760,16e siècle
229774,1605
229207,
229117,
229746,19e siècle
229217,
229349,2e quart du 18e siècle - 4e quart du 18e siècle
229375,1ère moitié du 18e siècle
229147,
229226,19e siècle
229100,4e quart du 18e siècle
229819,1891
229179,18e siècle
229817,1904
229820,1884
229190,
229346,1ère moitié du 18e siècle
229183,
229465,19e siècle
229105,
229244,1540 - 1550
229159,18e siècle
229166,4e quart du 18e siècle - 19e siècle
232168,1785
23125,1455 - 1460
229256,17e siècle
229402,19e siècle
254552,1788 - 1790
229490,19e siècle
229396,1ère moitié du 18e siècle
229367,1ère moitié du 18e siècle
229388,1ère moitié du 18e siècle
229482,16e siècle - 17e siècle
229219,19e siècle
229343,1ère moitié du 18e siècle
229478,
229475,1725
229193,
228752,18e siècle
228766,2e moitié du 18e siècle - 1ère moitié du 19e siècle
134452,15e siècle
229145,
229205,19e siècle
229102,16e siècle - 17e siècle
30738,1720 - 1721
229545,19e siècle
229131,19e siècle
229494,
228773,18e siècle
228770,1789
134456,
229782,1583 - 1584
228797,2e moitié du 18e siècle - 1ère moitié du 19e siècle
229177,17e siècle
229139,18e siècle
229790,17e siècle
228749,18e siècle
228779,2e moitié du 18e siècle - 1ère moitié du 19e siècle
228781,2e moitié du 18e siècle - 1ère moitié du 19e siècle
228750,2e moitié du 18e siècle
228754,18e siècle
228756,19e siècle
228761,18e siècle
228791,2e moitié du 18e siècle - 1ère moitié du 19e siècle
