"acteur_nom","uk_acteur","acteur_nature","acteur_star","acteur_url"
"Alexandre (19e siècle)","162697","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162697"
"Armand, Alfred (1805 - 1888)","3449","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/0023449"
"Bachofen, Johann Jakob (1815 - 1897)","161234","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002161234"
"Benoît (19e siècle)","162699","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162699"
"Berger, Georges (1834 - )","3513","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/0023513"
"Bertrand (19e siècle)","162726","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162726"
"Beugnot, Gustave Adolphe (1799 - 1861)","144435","personne",1,"https://agorha.inha.fr/inhaprod/ark:/54721/002144435"
"Billoin (19e siècle)","162700","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162700"
"Blacas d'Aulps, Louis-Charles-Pierre-Casimir (1815 - 1866)","159500","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002159500"
"Blondin (19e siècle)","162713","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162713"
"Bonaparte, Lucien (1775 - 1840)","144503","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002144503"
"Boucher, Saint Agnan Marie (1811 - 1893)","80982","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/00280982"
"Bourru ? (19e siècle)","162717","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162717"
"Brançon (19e siècle)","161988","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002161988"
"Brøndsted, Peter Oluf (1780 - 1842)","147684","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002147684"
"Brun (19e siècle)","162720","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162720"
"Bussonnet (19e siècle)","162730","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162730"
"Charvet, Jules (1824 - 1882)","159423","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002159423"
"Chauvier (19e siècle)","162723","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162723"
"Choiseul-Gouffier, Marie-Gabriel-Florent-Auguste (1752 - 1817)","6949","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/0026949"
"Constantin (19e siècle)","160821","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002160821"
"Dalligny, Charles Augustin (19 siècle)","162727","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162727"
"Damour (19e siècle)","162725","personne",,"https://agorha.inha.fr/inhaprod/ark:/54721/002162725"
