"id_objet","classement_objet","nom_objet","description","texte_creation","texte_decouverte","texte_ventes","texte_conservation","description_en","texte_creation_en","texte_decouverte_en","texte_ventes_en","texte_conservation_en","auteur_objet","type_objet","categorie_picto","type_vase","matiere_filtre","dim_cm","echelle_cm","lieu_creation_nom","lieu_creation_pays","lieu_creation_lat","lieu_creation_long","lieu_creation_type","date_creation_string","date_creation_debut","date_creation_fin","lieu_decouverte_nom","lieu_decouverte_lat","lieu_decouverte_long","lieu_decouverte_type","lieu_decouverte_pays","lieu_decouverte_certitude","date_decouverte_string","date_decouverte_debut","date_decouverte_fin","conservation_nom","conservation_date_entree","conservation_ville","conservation_id","conservation_pays","lieu_conservation_lat","lieu_conservation_long","conservation_type","URL_objet_AGORHA","image_exists"
"254836","2","Casque qui était entouré d'une couronne de myrte",,,,,,,,,,,,"arme","arme",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254836","0"
"254818","2","Périscélide : serpent à double tête",,,,,,,,,,,,"bijou","bijou",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254818","0"
"145095","2","Candélabre avec fût figurant un tronc de palmier",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal","23 cm (hauteur)","23",,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003145095","0"
"137250","2","Candélabre avec Héraclès tenant sa massue sur l'épaule",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003137250","1"
"137244","2","Candélabre avec une figurine d'homme barbu et drapé",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003137244","1"
"142098","2","Candélabre en bronze avec une figurine de Mars",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal","30 cm (hauteur)","30",,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003142098","1"
"144534","2","Candélabre étrusque",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal","53 cm (hauteur)","53","Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144534","0"
"144556","2","Candélabre étrusque",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal","114 cm (hauteur)","114","Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144556","1"
"144570","2","Candélabre étrusque",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal","29,8 cm (hauteur)","29,8","Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144570","1"
"144559","2","Candélabre étrusque surmonté d'une figurine masculine nue",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal","92 cm (hauteur)","92","Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144559","1"
