"id_objet","vente_nom","id_appvente","type_vente","id_vente","vente_date","vente_ville","vente_pays","vente_adresse_1","vente_long","vente_lat","vente_vendeur","uk_acteur_vente_vendeur","vente_acheteur","uk_acteur_vente_acheteur","ventes_prix_francs","url_vente"
"254836","Vente Canino 1837","254836-Vente Canino 1837","vente","7378","8 mai 1837 - 12 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0047378"
"254836","Vente Canino 1837","254836-Vente Canino 1837","vente de lot","7570","10 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579","Bonaparte, Lucien","144503","Rollin (famille)","141862","180 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0047570"
"254818","Vente Canino 1837","254818-Vente Canino 1837","vente","7378","8 mai 1837 - 12 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0047378"
"254818","Vente Canino 1837","254818-Vente Canino 1837","vente de lot","7487","9 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579","Bonaparte, Lucien","144503","Michel de Trétaigne, Jean-Baptiste","142524","6,50 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0047487"
"145095","Vente Canino 1837","145095-Vente Canino 1837","vente","7378","8 mai 1837 - 12 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0047378"
"145095","Vente Canino 1837","145095-Vente Canino 1837","vente de lot","7495","9 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579","Bonaparte, Lucien","144503","Beugnot, Gustave Adolphe","144435","54 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0047495"
"145095","Vente Beugnot 1840","145095-Vente Beugnot 1840","vente","6434","5 mai 1840 - 9 mai 1840","Paris","France","Hôtel de Ventes mobilières 16, rue des Jeûneurs","2.346504","48.869293",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0046434"
"145095","Vente Beugnot 1840","145095-Vente Beugnot 1840","vente de lot","6566","6 mai 1840","Paris","France","16, rue des Jeûneurs","2.346504","48.869293","Beugnot, Gustave Adolphe","144435","Paravey, Charles","141726","100 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0046566"
"145095","Vente Paravey 1879","145095-Vente Paravey 1879","vente","6639","26 février 1879","Paris","France","16, rue des Jeûneurs","2.346504","48.869293",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0046639"
"137250","Vente Canino 1837","137250-Vente Canino 1837","vente","7378","8 mai 1837 - 12 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0047378"
"137250","Vente Canino 1837","137250-Vente Canino 1837","vente de lot","7572","10 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579","Bonaparte, Lucien","144503","Magnoncour, Flavien de","142387","300 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0047572"
"137250","Vente Magnoncour 1839","137250-Vente Magnoncour 1839","vente","6218","17 avril 1839 - 19 avril 1839","Paris","France","16 rue des Jeuneurs, Hôtel de Ventes mobilières","2.346504","48.869293",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0046218"
"137250","Vente Magnoncour 1839","137250-Vente Magnoncour 1839","vente de lot","6336","18 avril 1839","Paris","France","16 rue des Jeuneurs, Hôtel de Ventes mobilières","2.346504","48.869293","Magnoncour, Flavien de","142387","De Witte, Jean","5351","248,50 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0046336"
"137244","Vente Canino 1837","137244-Vente Canino 1837","vente","7378","8 mai 1837 - 12 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0047378"
"137244","Vente Canino 1837","137244-Vente Canino 1837","vente de lot","7654","11 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579","Bonaparte, Lucien","144503","Magnoncour, Flavien de","142387","380 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0047654"
"137244","Vente Magnoncour 1839","137244-Vente Magnoncour 1839","vente","6218","17 avril 1839 - 19 avril 1839","Paris","France","16 rue des Jeuneurs, Hôtel de Ventes mobilières","2.346504","48.869293",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0046218"
"137244","Vente Magnoncour 1839","137244-Vente Magnoncour 1839","vente de lot","6335","18 avril 1839","Paris","France","16 rue des Jeuneurs, Hôtel de Ventes mobilières","2.346504","48.869293","Magnoncour, Flavien de","142387","De Witte, Jean","5351","248 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0046335"
"142098","Vente Canino 1837","142098-Vente Canino 1837","vente","7378","8 mai 1837 - 12 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0047378"
"142098","Vente Canino 1837","142098-Vente Canino 1837","vente de lot","7624","11 mai 1837","Paris","France","13 rue Marivaux","2.337605","48.871579","Bonaparte, Lucien","144503","Beugnot, Gustave Adolphe","144435","402 francs","https://agorha.inha.fr/inhaprod/ark:/54721/0047624"
"142098","Vente Beugnot 1840","142098-Vente Beugnot 1840","vente","6434","5 mai 1840 - 9 mai 1840","Paris","France","Hôtel de Ventes mobilières 16, rue des Jeûneurs","2.346504","48.869293",,,,,,"https://agorha.inha.fr/inhaprod/ark:/54721/0046434"
